doc,edge_id,enhanced_signature,is_property,method_full_name,name,object_type,parameter_types,parameters_count,relationship,requires_parameters,return_type,signature,source,source_object,source_type,target
"Collect all subgraphs into a Python list (for compatibility with iterator patterns)",367,"()",false,"SubgraphArray.collect","collect","SubgraphArray","{}",0,"SubgraphArray -> list","[]","list","()",14,"SubgraphArray","SubgraphArray",22
"Check if subgraph contains a specific node (alias for has_node)",392,"(node_id)",false,"Subgraph.contains_node","contains_node","Subgraph","{}",1,"Subgraph -> Subgraph","[""node_id""]","Subgraph","(node_id)",19,"Subgraph","Subgraph",19
compressed_text,170,"(row, column_name, value)",false,"BaseTable.set_value","set_value","BaseTable","{}",3,"BaseTable -> Unknown","[""row"", ""column_name"", ""value""]","Unknown","(row, column_name, value)",34,"BaseTable","BaseTable",0
compressed_text,319,"()",false,"EdgesTable.interactive_embed","interactive_embed","EdgesTable","{}",0,"EdgesTable -> str","[]","str","()",21,"EdgesTable","EdgesTable",11
"Set single edge attribute - delegates to PyGraphAttrMut",48,"(edge, attr, value)",false,"Graph.set_edge_attr","set_edge_attr","Graph","{}",3,"Graph -> GraphAttrMut","[""edge"", ""attr"", ""value""]","GraphAttrMut","(edge, attr, value)",37,"Graph","Graph",3
compressed_text,81,"(suffix)",false,"AttrName.removesuffix","removesuffix","AttrName","{}",1,"AttrName -> str","[""suffix""]","str","(suffix, /)",15,"AttrName","AttrName",11
compressed_text,207,"(chars=None)",false,"BranchName.lstrip","lstrip","BranchName","{}",1,"BranchName -> str","[]","str","(chars=None, /)",16,"BranchName","BranchName",11
"Convert to Python list",379,"()",false,"TableArray.to_list","to_list","TableArray","{}",0,"TableArray -> list","[]","list","()",23,"TableArray","TableArray",22
"Get a single edge attribute value",402,"(edge_id, attr_name)",false,"Subgraph.get_edge_attribute","get_edge_attribute","Subgraph","{}",2,"Subgraph -> Unknown","[""edge_id"", ""attr_name""]","Unknown","(edge_id, attr_name)",19,"Subgraph","Subgraph",0
"Stack matrices along specified axis",496,"(other, axis)",false,"GraphMatrix.stack","stack","GraphMatrix","{}",2,"GraphMatrix -> Unknown","[""other"", ""axis""]","Unknown","(other, axis)",40,"GraphMatrix","GraphMatrix",0
compressed_text,190,"(encoding=utf-8, errors=strict)",false,"BranchName.encode","encode","BranchName","{}",2,"BranchName -> str","[]","str","(encoding='utf-8', errors='strict')",16,"BranchName","BranchName",11
"Calculate similarity between subgraphs using various metrics",384,"(other, metric=jaccard)",false,"Subgraph.calculate_similarity","calculate_similarity","Subgraph","{}",2,"Subgraph -> Unknown","[""other""]","Unknown","(other, metric='jaccard')",19,"Subgraph","Subgraph",0
"Variance along specified axis (0=rows, 1=columns)",515,"(axis)",false,"GraphMatrix.var_axis","var_axis","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[""axis""]","Unknown","(axis)",40,"GraphMatrix","GraphMatrix",0
"Get all unique node attribute names across the entire graph",7,"()",false,"Graph.all_node_attribute_names","all_node_attribute_names","Graph","{}",0,"Graph -> Graph","[]","Graph","()",37,"Graph","Graph",37
"GELU activation applied to matrix
Implements: matrix.gelu()",455,"()",false,"GraphMatrix.gelu","gelu","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",40,"GraphMatrix","GraphMatrix",38
"Calculate density of this subgraph",394,"()",false,"Subgraph.density","density","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","()",19,"Subgraph","Subgraph",19
"Count null values in each column
Returns a dictionary with column names and their null counts",152,"()",false,"BaseTable.null_counts","null_counts","BaseTable","{}",0,"BaseTable -> dict","[]","dict","()",34,"BaseTable","BaseTable",5
"Import BaseTable from Parquet file",131,"(path)",false,"BaseTable.from_parquet","from_parquet","BaseTable","{}",1,"BaseTable -> BaseTable","[""path""]","BaseTable","(path)",34,"BaseTable","BaseTable",34
compressed_text,220,"()",false,"BranchName.title","title","BranchName","{}",0,"BranchName -> str","[]","str","()",16,"BranchName","BranchName",11
compressed_text,437,"(func)",false,"GraphMatrix.apply","apply","GraphMatrix","{}",1,"GraphMatrix -> Matrix","[""func""]","Matrix","(func)",40,"GraphMatrix","GraphMatrix",38
compressed_text,122,"(operation)",false,"BaseTable.expanding_all","expanding_all","BaseTable","{}",1,"BaseTable -> float","[""operation""]","float","(operation)",34,"BaseTable","BaseTable",2
compressed_text,385,"()",false,"Subgraph.child_meta_nodes","child_meta_nodes","Subgraph","{}",0,"Subgraph -> list","[]","list","()",19,"Subgraph","Subgraph",22
"Import BaseTable from CSV file",128,"(path)",false,"BaseTable.from_csv","from_csv","BaseTable","{}",1,"BaseTable -> BaseTable","[""path""]","BaseTable","(path)",34,"BaseTable","BaseTable",34
"Create a new branch (FFI wrapper around core history system)",15,"(branch_name)",false,"Graph.create_branch","create_branch","Graph","{}",1,"Graph -> Unknown","[""branch_name""]","Unknown","(branch_name)",37,"Graph","Graph",0
"Get bulk edge attributes - delegates to PyGraphAttr",24,"(edges, attrs)",false,"Graph.get_edge_attrs","get_edge_attrs","Graph","{}",2,"Graph -> GraphAttr","[""edges"", ""attrs""]","GraphAttr","(edges, attrs)",37,"Graph","Graph",33
"Check if node has specific attribute - delegates to PyGraphAttr",33,"(node_id, attr_name)",false,"Graph.has_node_attribute","has_node_attribute","Graph","{}",2,"Graph -> GraphAttr","[""node_id"", ""attr_name""]","GraphAttr","(node_id, attr_name)",37,"Graph","Graph",33
compressed_text,134,"(column, percentile, interpolation=None)",false,"BaseTable.get_percentile","get_percentile","BaseTable","{}",3,"BaseTable -> Object","[""column"", ""percentile""]","Object","(column, percentile, interpolation=None)",34,"BaseTable","BaseTable",13
compressed_text,174,"(start, end)",false,"BaseTable.slice","slice","BaseTable","{}",2,"BaseTable -> BaseTable","[""start"", ""end""]","BaseTable","(start, end)",34,"BaseTable","BaseTable",34
"Get a single node attribute value",403,"(node_id, attr_name)",false,"Subgraph.get_node_attribute","get_node_attribute","Subgraph","{}",2,"Subgraph -> Unknown","[""node_id"", ""attr_name""]","Unknown","(node_id, attr_name)",19,"Subgraph","Subgraph",0
"Get component sizes without materializing subgraphs",522,"()",false,"ComponentsArray.sizes","sizes","ComponentsArray","{}",0,"ComponentsArray -> Unknown","[]","Unknown","()",30,"ComponentsArray","ComponentsArray",0
"Remove multiple edges from the graph",44,"(edges)",false,"Graph.remove_edges","remove_edges","Graph","{}",1,"Graph -> Graph","[""edges""]","Graph","(edges)",37,"Graph","Graph",37
"Get last n rows (default 5)",296,"(n=5)",false,"NodesTable.tail","tail","NodesTable","{}",1,"NodesTable -> Unknown","[]","Unknown","(n=5)",28,"NodesTable","NodesTable",0
"Sample k nodes from this subgraph randomly",422,"(k)",false,"Subgraph.sample","sample","Subgraph","{}",1,"Subgraph -> Subgraph","[""k""]","Subgraph","(k)",19,"Subgraph","Subgraph",19
compressed_text,483,"()",false,"GraphMatrix.rank","rank","GraphMatrix","{}",0,"GraphMatrix -> float","[]","float","()",40,"GraphMatrix","GraphMatrix",2
compressed_text,104,"(updates)",false,"BaseTable.assign","assign","BaseTable","{}",1,"BaseTable -> dict","[""updates""]","dict","(updates)",34,"BaseTable","BaseTable",5
compressed_text,506,"()",false,"GraphMatrix.to_dict","to_dict","GraphMatrix","{}",0,"GraphMatrix -> dict","[]","dict","()",40,"GraphMatrix","GraphMatrix",5
compressed_text,330,"(columns, ascending=None)",false,"EdgesTable.sort_values","sort_values","EdgesTable","{}",2,"EdgesTable -> list","[""columns""]","list","(columns, ascending=None)",21,"EdgesTable","EdgesTable",22
"Calculate variance",366,"()",false,"NumArray.var","var","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",27,"NumArray","NumArray",0
compressed_text,57,"()",false,"Graph.view","view","Graph","{}",0,"Graph -> Graph","[]","Graph","()",37,"Graph","Graph",37
"Convert to regular Python list (materializes all components)",524,"()",false,"ComponentsArray.to_list","to_list","ComponentsArray","{}",0,"ComponentsArray -> list","[]","list","()",30,"ComponentsArray","ComponentsArray",22
compressed_text,227,"(bytes, byteorder, signed=False)",false,"EdgeId.from_bytes","from_bytes","EdgeId","{}",3,"EdgeId -> list","[""bytes"", ""byteorder""]","list","(bytes, byteorder, *, signed=False)",12,"EdgeId","EdgeId",22
compressed_text,326,"(columns)",false,"EdgesTable.select","select","EdgesTable","{}",1,"EdgesTable -> list","[""columns""]","list","(columns)",21,"EdgesTable","EdgesTable",22
"Check if the array is empty",369,"()",false,"SubgraphArray.is_empty","is_empty","SubgraphArray","{}",0,"SubgraphArray -> list","[]","list","()",14,"SubgraphArray","SubgraphArray",22
"Create NodesTable from a Python dictionary (must contain 'node_id' column)",277,"(data)",false,"NodesTable.from_dict","from_dict","NodesTable","{}",1,"NodesTable -> dict","[""data""]","dict","(data)",28,"NodesTable","NodesTable",5
"Check if the array is empty",344,"()",false,"NodesArray.is_empty","is_empty","NodesArray","{}",0,"NodesArray -> list","[]","list","()",39,"NodesArray","NodesArray",22
"",427,"(_other)",false,"Subgraph.subtract_from","subtract_from","Subgraph","{}",1,"Subgraph -> Unknown","[""_other""]","Unknown","(_other)",19,"Subgraph","Subgraph",0
compressed_text,60,"(width, fillchar= )",false,"AttrName.center","center","AttrName","{}",2,"AttrName -> str","[""width""]","str","(width, fillchar=' ', /)",15,"AttrName","AttrName",11
"Get column by index as BaseArray (mixed types) or NumArray (if all numerical)",458,"(col)",false,"GraphMatrix.get_column","get_column","GraphMatrix","{}",1,"GraphMatrix -> BaseArray","[""col""]","BaseArray","(col)",40,"GraphMatrix","GraphMatrix",26
compressed_text,63,"()",false,"AttrName.isalnum","isalnum","AttrName","{}",0,"AttrName -> str","[]","str","()",15,"AttrName","AttrName",11
"Get first n rows (default 5)",141,"(n=5)",false,"BaseTable.head","head","BaseTable","{}",1,"BaseTable -> Unknown","[]","Unknown","(n=5)",34,"BaseTable","BaseTable",0
compressed_text,233,"()",false,"StateId.as_integer_ratio","as_integer_ratio","StateId","{}",0,"StateId -> int","[]","int","()",9,"StateId","StateId",6
compressed_text,320,"(port=None, layout=None, theme=None, width=None, height=None)",false,"EdgesTable.interactive_viz","interactive_viz","EdgesTable","{}",5,"EdgesTable -> float","[]","float","(port=None, layout=None, theme=None, width=None, height=None)",21,"EdgesTable","EdgesTable",2
"Get connected components within this subgraph (lazy array)",390,"()",false,"Subgraph.connected_components","connected_components","Subgraph","{}",0,"Subgraph -> list","[]","list","()",19,"Subgraph","Subgraph",22
"Set single cell value at (row, col)",490,"(row, col, value)",false,"GraphMatrix.set","set","GraphMatrix","{}",3,"GraphMatrix -> Unknown","[""row"", ""col"", ""value""]","Unknown","(row, col, value)",40,"GraphMatrix","GraphMatrix",0
compressed_text,240,"(attr_name)",false,"NodesAccessor.group_by","group_by","NodesAccessor","{}",1,"NodesAccessor -> list","[""attr_name""]","list","(attr_name)",20,"NodesAccessor","NodesAccessor",22
"Check if edge exists between two nodes",406,"(source, target)",false,"Subgraph.has_edge_between","has_edge_between","Subgraph","{}",2,"Subgraph -> Unknown","[""source"", ""target""]","Unknown","(source, target)",19,"Subgraph","Subgraph",0
compressed_text,88,"(keepends=False)",false,"AttrName.splitlines","splitlines","AttrName","{}",1,"AttrName -> list","[]","list","(keepends=False)",15,"AttrName","AttrName",22
compressed_text,284,"(port=None, layout=None, theme=None, width=None, height=None)",false,"NodesTable.interactive_viz","interactive_viz","NodesTable","{}",5,"NodesTable -> float","[]","float","(port=None, layout=None, theme=None, width=None, height=None)",28,"NodesTable","NodesTable",2
"Convert to NumPy array (when numpy available)
Uses .data property to materialize data",510,"()",false,"GraphMatrix.to_numpy","to_numpy","GraphMatrix","{}",0,"GraphMatrix -> list","[]","list","()",40,"GraphMatrix","GraphMatrix",22
compressed_text,84,"(sep)",false,"AttrName.rpartition","rpartition","AttrName","{}",1,"AttrName -> str","[""sep""]","str","(sep, /)",15,"AttrName","AttrName",11
"Filter NodesAccessor objects using a Python predicate function",340,"(predicate)",false,"NodesArray.filter","filter","NodesArray","{}",1,"NodesArray -> NodesAccessor","[""predicate""]","NodesAccessor","(predicate)",39,"NodesArray","NodesArray",20
"Convert table to NodesAccessor by extracting node IDs from the table",268,"()",false,"GraphTable.to_nodes","to_nodes","GraphTable","{}",0,"GraphTable -> NodesAccessor","[]","NodesAccessor","()",35,"GraphTable","GraphTable",20
"Get unique values for an attribute",338,"(attr_name)",false,"EdgesTable.unique_attr_values","unique_attr_values","EdgesTable","{}",1,"EdgesTable -> Unknown","[""attr_name""]","Unknown","(attr_name)",21,"EdgesTable","EdgesTable",0
"BFS traversal - returns subgraph result",383,"(start, max_depth=None)",false,"Subgraph.bfs","bfs","Subgraph","{}",2,"Subgraph -> Subgraph","[""start""]","Subgraph","(start, max_depth=None)",19,"Subgraph","Subgraph",19
"Calculate clustering coefficient for a node or entire subgraph",386,"(_node_id=None)",false,"Subgraph.clustering_coefficient","clustering_coefficient","Subgraph","{}",1,"Subgraph -> Subgraph","[]","Subgraph","(_node_id=None)",19,"Subgraph","Subgraph",19
compressed_text,421,"()",false,"Subgraph.parent_meta_node","parent_meta_node","Subgraph","{}",0,"Subgraph -> dict","[]","dict","()",19,"Subgraph","Subgraph",5
"DFS traversal - returns subgraph result",395,"(start, max_depth=None)",false,"Subgraph.dfs","dfs","Subgraph","{}",2,"Subgraph -> Subgraph","[""start""]","Subgraph","(start, max_depth=None)",19,"Subgraph","Subgraph",19
compressed_text,328,"(start, end)",false,"EdgesTable.slice","slice","EdgesTable","{}",2,"EdgesTable -> EdgesTable","[""start"", ""end""]","EdgesTable","(start, end)",21,"EdgesTable","EdgesTable",21
"Commit current state of the graph (FFI wrapper around core history system)",11,"(message, author)",false,"Graph.commit","commit","Graph","{}",2,"Graph -> Graph","[""message"", ""author""]","Graph","(message, author)",37,"Graph","Graph",37
"Convert to pandas DataFrame",299,"()",false,"NodesTable.to_pandas","to_pandas","NodesTable","{}",0,"NodesTable -> Unknown","[]","Unknown","()",28,"NodesTable","NodesTable",0
compressed_text,231,"(bytes, byteorder, signed=False)",false,"NodeId.from_bytes","from_bytes","NodeId","{}",3,"NodeId -> list","[""bytes"", ""byteorder""]","list","(bytes, byteorder, *, signed=False)",31,"NodeId","NodeId",22
compressed_text,318,"()",false,"EdgesTable.interactive","interactive","EdgesTable","{}",0,"EdgesTable -> str","[]","str","()",21,"EdgesTable","EdgesTable",11
compressed_text,316,"(columns)",false,"EdgesTable.group_by","group_by","EdgesTable","{}",1,"EdgesTable -> list","[""columns""]","list","(columns)",21,"EdgesTable","EdgesTable",22
compressed_text,175,"(column, ascending=True)",false,"BaseTable.sort_by","sort_by","BaseTable","{}",2,"BaseTable -> BaseTable","[""column""]","BaseTable","(column, ascending=True)",34,"BaseTable","BaseTable",34
compressed_text,74,"()",false,"AttrName.isupper","isupper","AttrName","{}",0,"AttrName -> str","[]","str","()",15,"AttrName","AttrName",11
"Calculate the Frobenius norm (Euclidean norm) of the matrix",476,"()",false,"GraphMatrix.norm","norm","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",40,"GraphMatrix","GraphMatrix",38
"Element-wise absolute value",436,"()",false,"GraphMatrix.abs","abs","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",40,"GraphMatrix","GraphMatrix",0
"Get edges as tuples (edge_id, source, target)",303,"()",false,"EdgesTable.as_tuples","as_tuples","EdgesTable","{}",0,"EdgesTable -> Unknown","[]","Unknown","()",21,"EdgesTable","EdgesTable",0
"Import EdgesTable from JSON file (must contain edge_id, source, target columns)",314,"(path)",false,"EdgesTable.from_json","from_json","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[""path""]","EdgesTable","(path)",21,"EdgesTable","EdgesTable",21
"Direct delegation: Apply neighborhood() to each component and return PySubgraphArray",520,"()",false,"ComponentsArray.neighborhood","neighborhood","ComponentsArray","{}",0,"ComponentsArray -> SubgraphArray","[]","SubgraphArray","()",30,"ComponentsArray","ComponentsArray",14
compressed_text,368,"(attr_name, element_type)",false,"SubgraphArray.group_by","group_by","SubgraphArray","{}",2,"SubgraphArray -> list","[""attr_name"", ""element_type""]","list","(attr_name, element_type)",14,"SubgraphArray","SubgraphArray",22
"Get all unique edge attribute names across the entire graph",6,"()",false,"Graph.all_edge_attribute_names","all_edge_attribute_names","Graph","{}",0,"Graph -> Graph","[]","Graph","()",37,"Graph","Graph",37
compressed_text,295,"(columns, ascending=None)",false,"NodesTable.sort_values","sort_values","NodesTable","{}",2,"NodesTable -> list","[""columns""]","list","(columns, ascending=None)",28,"NodesTable","NodesTable",22
"Check if an edge exists in the graph - DELEGATED  ",30,"(edge_id)",false,"Graph.has_edge","has_edge","Graph","{}",1,"Graph -> Graph","[""edge_id""]","Graph","(edge_id)",37,"Graph","Graph",37
"Export EdgesTable to JSON file",335,"(path)",false,"EdgesTable.to_json","to_json","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[""path""]","EdgesTable","(path)",21,"EdgesTable","EdgesTable",21
compressed_text,65,"()",false,"AttrName.isascii","isascii","AttrName","{}",0,"AttrName -> str","[]","str","()",15,"AttrName","AttrName",11
compressed_text,166,"(window, operation)",false,"BaseTable.rolling_all","rolling_all","BaseTable","{}",2,"BaseTable -> float","[""window"", ""operation""]","float","(window, operation)",34,"BaseTable","BaseTable",2
"Check if an edge exists in this subgraph",405,"(edge_id)",false,"Subgraph.has_edge","has_edge","Subgraph","{}",1,"Subgraph -> Subgraph","[""edge_id""]","Subgraph","(edge_id)",19,"Subgraph","Subgraph",19
compressed_text,143,"(column_name, values)",false,"BaseTable.isin","isin","BaseTable","{}",2,"BaseTable -> list","[""column_name"", ""values""]","list","(column_name, values)",34,"BaseTable","BaseTable",22
"Generate transition matrix - delegates to PyGraphMatrixHelper",56,"()",false,"Graph.transition_matrix","transition_matrix","Graph","{}",0,"Graph -> Matrix","[]","Matrix","()",37,"Graph","Graph",38
compressed_text,66,"()",false,"AttrName.isdecimal","isdecimal","AttrName","{}",0,"AttrName -> str","[]","str","()",15,"AttrName","AttrName",11
compressed_text,176,"(columns, ascending=None)",false,"BaseTable.sort_values","sort_values","BaseTable","{}",2,"BaseTable -> list","[""columns""]","list","(columns, ascending=None)",34,"BaseTable","BaseTable",22
"Convert to pandas DataFrame",181,"()",false,"BaseTable.to_pandas","to_pandas","BaseTable","{}",0,"BaseTable -> Unknown","[]","Unknown","()",34,"BaseTable","BaseTable",0
compressed_text,109,"(col1, col2, method=None)",false,"BaseTable.corr_columns","corr_columns","BaseTable","{}",3,"BaseTable -> float","[""col1"", ""col2""]","float","(col1, col2, method=None)",34,"BaseTable","BaseTable",2
compressed_text,29,"(attribute, aggregation_attr, operation)",false,"Graph.group_nodes_by_attribute","group_nodes_by_attribute","Graph","{}",3,"Graph -> Graph","[""attribute"", ""aggregation_attr"", ""operation""]","Graph","(attribute, aggregation_attr, operation)",37,"Graph","Graph",37
compressed_text,71,"()",false,"AttrName.isprintable","isprintable","AttrName","{}",0,"AttrName -> str","[]","str","()",15,"AttrName","AttrName",11
compressed_text,102,"(func)",false,"BaseTable.apply_to_columns","apply_to_columns","BaseTable","{}",1,"BaseTable -> int","[""func""]","int","(func)",34,"BaseTable","BaseTable",6
"Export BaseTable to JSON file",180,"(path)",false,"BaseTable.to_json","to_json","BaseTable","{}",1,"BaseTable -> BaseTable","[""path""]","BaseTable","(path)",34,"BaseTable","BaseTable",34
compressed_text,92,"(table)",false,"AttrName.translate","translate","AttrName","{}",1,"AttrName -> dict","[""table""]","dict","(table, /)",15,"AttrName","AttrName",5
compressed_text,209,"(prefix)",false,"BranchName.removeprefix","removeprefix","BranchName","{}",1,"BranchName -> str","[""prefix""]","str","(prefix, /)",16,"BranchName","BranchName",11
compressed_text,210,"(suffix)",false,"BranchName.removesuffix","removesuffix","BranchName","{}",1,"BranchName -> str","[""suffix""]","str","(suffix, /)",16,"BranchName","BranchName",11
"Get summary information without materializing data",500,"()",false,"GraphMatrix.summary","summary","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",40,"GraphMatrix","GraphMatrix",0
"Checkout a branch (FFI wrapper around core history system)",10,"(branch_name)",false,"Graph.checkout_branch","checkout_branch","Graph","{}",1,"Graph -> Unknown","[""branch_name""]","Unknown","(branch_name)",37,"Graph","Graph",0
compressed_text,137,"(by)",false,"BaseTable.groupby","groupby","BaseTable","{}",1,"BaseTable -> list","[""by""]","list","(by)",34,"BaseTable","BaseTable",22
"Create iterator for method chaining",370,"()",false,"SubgraphArray.iter","iter","SubgraphArray","{}",0,"SubgraphArray -> Unknown","[]","Unknown","()",14,"SubgraphArray","SubgraphArray",0
"Convert this graph to a NetworkX graph.",55,"(directed: bool=False, include_attributes: bool=True)",false,"Graph.to_networkx","to_networkx","Graph","{""directed"": ""bool"", ""include_attributes"": ""bool""}",2,"Graph -> Graph","[]","Graph","(directed: bool = False, include_attributes: bool = True)",37,"Graph","Graph",37
"Get source node IDs",331,"()",false,"EdgesTable.sources","sources","EdgesTable","{}",0,"EdgesTable -> Unknown","[]","Unknown","()",21,"EdgesTable","EdgesTable",0
"Matrix inverse (Phase 5 - placeholder for now)",462,"()",false,"GraphMatrix.inverse","inverse","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",40,"GraphMatrix","GraphMatrix",38
"Helper method to resolve string ID to NodeId using uid_key attribute",47,"(string_id, uid_key)",false,"Graph.resolve_string_id_to_node","resolve_string_id_to_node","Graph","{}",2,"Graph -> str","[""string_id"", ""uid_key""]","str","(string_id, uid_key)",37,"Graph","Graph",11
"Find the maximum value",357,"()",false,"NumArray.max","max","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",27,"NumArray","NumArray",0
compressed_text,192,"()",false,"BranchName.isalnum","isalnum","BranchName","{}",0,"BranchName -> str","[]","str","()",16,"BranchName","BranchName",11
"Calculate standard deviation",362,"()",false,"NumArray.std","std","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",27,"NumArray","NumArray",0
compressed_text,169,"(column_name, values)",false,"BaseTable.set_column","set_column","BaseTable","{}",2,"BaseTable -> list","[""column_name"", ""values""]","list","(column_name, values)",34,"BaseTable","BaseTable",22
compressed_text,262,"(bundle_path)",false,"GraphTable.save_bundle","save_bundle","GraphTable","{}",1,"GraphTable -> GraphTable","[""bundle_path""]","GraphTable","(bundle_path)",35,"GraphTable","GraphTable",35
"Get edge IDs",307,"()",false,"EdgesTable.edge_ids","edge_ids","EdgesTable","{}",0,"EdgesTable -> Unknown","[]","Unknown","()",21,"EdgesTable","EdgesTable",0
"Solve linear system Ax = b",493,"(b)",false,"GraphMatrix.solve","solve","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[""b""]","Unknown","(b)",40,"GraphMatrix","GraphMatrix",0
"",3,"(node_id=None, kwargs)",false,"Graph.add_node","add_node","Graph","{}",2,"Graph -> Unknown","[""kwargs""]","Unknown","(node_id=None, **kwargs)",37,"Graph","Graph",0
"Get rich display representation with NodesTable type",290,"(config=None)",false,"NodesTable.rich_display","rich_display","NodesTable","{}",1,"NodesTable -> NodesTable","[]","NodesTable","(config=None)",28,"NodesTable","NodesTable",28
"Leaky ReLU activation function",465,"(alpha=None)",false,"GraphMatrix.leaky_relu","leaky_relu","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[]","Unknown","(alpha=None)",40,"GraphMatrix","GraphMatrix",0
"Import EdgesTable from Parquet file (must contain edge_id, source, target columns)",315,"(path)",false,"EdgesTable.from_parquet","from_parquet","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[""path""]","EdgesTable","(path)",21,"EdgesTable","EdgesTable",21
"Set operations - merge, intersect, subtract (placeholders)",415,"(_other)",false,"Subgraph.merge_with","merge_with","Subgraph","{}",1,"Subgraph -> Unknown","[""_other""]","Unknown","(_other)",19,"Subgraph","Subgraph",0
"Minimum along specified axis (0=rows, 1=columns)",474,"(axis)",false,"GraphMatrix.min_axis","min_axis","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[""axis""]","Unknown","(axis)",40,"GraphMatrix","GraphMatrix",0
"Get last n rows (default 5)",332,"(n=5)",false,"EdgesTable.tail","tail","EdgesTable","{}",1,"EdgesTable -> Unknown","[]","Unknown","(n=5)",21,"EdgesTable","EdgesTable",0
"Elementwise multiplication (Hadamard product)
Returns: new GraphMatrix with elementwise product",446,"(other)",false,"GraphMatrix.elementwise_multiply","elementwise_multiply","GraphMatrix","{}",1,"GraphMatrix -> GraphMatrix","[""other""]","GraphMatrix","(other)",40,"GraphMatrix","GraphMatrix",40
"Count unique values",360,"()",false,"NumArray.nunique","nunique","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",27,"NumArray","NumArray",0
"Convert to BaseTable (loses node-specific typing)",285,"()",false,"NodesTable.into_base_table","into_base_table","NodesTable","{}",0,"NodesTable -> BaseTable","[]","BaseTable","()",28,"NodesTable","NodesTable",34
compressed_text,21,"(filter)",false,"Graph.filter_edges","filter_edges","Graph","{}",1,"Graph -> str","[""filter""]","str","(filter)",37,"Graph","Graph",11
"Check if subgraph is empty",414,"()",false,"Subgraph.is_empty","is_empty","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","()",19,"Subgraph","Subgraph",19
"Check if empty",355,"()",false,"NumArray.is_empty","is_empty","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",27,"NumArray","NumArray",0
compressed_text,475,"(other)",false,"GraphMatrix.multiply","multiply","GraphMatrix","{}",1,"GraphMatrix -> Matrix","[""other""]","Matrix","(other)",40,"GraphMatrix","GraphMatrix",38
compressed_text,433,"()",false,"Subgraph.to_networkx","to_networkx","Subgraph","{}",0,"Subgraph -> Graph","[]","Graph","()",19,"Subgraph","Subgraph",37
"Get number of total rows (nodes + edges)",261,"()",false,"GraphTable.nrows","nrows","GraphTable","{}",0,"GraphTable -> float","[]","float","()",35,"GraphTable","GraphTable",2
"Find the minimum value",359,"()",false,"NumArray.min","min","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",27,"NumArray","NumArray",0
compressed_text,509,"(eps=None, k=None)",false,"GraphMatrix.to_normalized_laplacian","to_normalized_laplacian","GraphMatrix","{}",2,"GraphMatrix -> Matrix","[]","Matrix","(eps=None, k=None)",40,"GraphMatrix","GraphMatrix",38
"Return a copy of the string converted to uppercase.",222,"()",false,"BranchName.upper","upper","BranchName","{}",0,"BranchName -> str","[]","str","()",16,"BranchName","BranchName",11
compressed_text,120,"(subset)",false,"BaseTable.dropna_subset","dropna_subset","BaseTable","{}",1,"BaseTable -> Unknown","[""subset""]","Unknown","(subset)",34,"BaseTable","BaseTable",0
compressed_text,487,"(new_rows, new_cols)",false,"GraphMatrix.reshape","reshape","GraphMatrix","{}",2,"GraphMatrix -> Matrix","[""new_rows"", ""new_cols""]","Matrix","(new_rows, new_cols)",40,"GraphMatrix","GraphMatrix",38
"Validate the GraphTable and return report",270,"()",false,"GraphTable.validate","validate","GraphTable","{}",0,"GraphTable -> GraphTable","[]","GraphTable","()",35,"GraphTable","GraphTable",35
"Set single node attribute - delegates to PyGraphAttrMut",50,"(node, attr, value)",false,"Graph.set_node_attr","set_node_attr","Graph","{}",3,"Graph -> GraphAttrMut","[""node"", ""attr"", ""value""]","GraphAttrMut","(node, attr, value)",37,"Graph","Graph",3
compressed_text,135,"(columns)",false,"BaseTable.group_by","group_by","BaseTable","{}",1,"BaseTable -> list","[""columns""]","list","(columns)",34,"BaseTable","BaseTable",22
compressed_text,229,"()",false,"NodeId.as_integer_ratio","as_integer_ratio","NodeId","{}",0,"NodeId -> int","[]","int","()",31,"NodeId","NodeId",6
compressed_text,213,"(sep)",false,"BranchName.rpartition","rpartition","BranchName","{}",1,"BranchName -> str","[""sep""]","str","(sep, /)",16,"BranchName","BranchName",11
