doc,edge_id,enhanced_signature,is_property,method_full_name,name,object_type,parameter_types,parameters_count,relationship,requires_parameters,return_type,signature,source,source_object,source_type,target
"Matrix inverse (Phase 5 - placeholder for now)",406,"()",false,"GraphMatrix.inverse","inverse","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",15,"GraphMatrix","GraphMatrix",2
"Transpose the matrix",458,"()",false,"GraphMatrix.transpose","transpose","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",15,"GraphMatrix","GraphMatrix",2
"Sigmoid activation applied to matrix
Implements: matrix.sigmoid()",435,"()",false,"GraphMatrix.sigmoid","sigmoid","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",15,"GraphMatrix","GraphMatrix",2
"Auto-assign edge IDs for null values (useful for meta nodes)",247,"()",false,"EdgesTable.auto_assign_edge_ids","auto_assign_edge_ids","EdgesTable","{}",0,"EdgesTable -> Unknown","[]","Unknown","()",13,"EdgesTable","EdgesTable",21
"Set bulk edge attributes - delegates to PyGraphAttrMut",49,"(attrs_dict)",false,"Graph.set_edge_attrs","set_edge_attrs","Graph","{}",1,"Graph -> GraphAttrMut","[""attrs_dict""]","GraphAttrMut","(attrs_dict)",5,"Graph","Graph",16
"Get number of columns",266,"()",false,"EdgesTable.ncols","ncols","EdgesTable","{}",0,"EdgesTable -> float","[]","float","()",13,"EdgesTable","EdgesTable",1
"Get preview of matrix for display (first N rows/cols by default)",425,"(row_limit=None, col_limit=None)",false,"GraphMatrix.preview","preview","GraphMatrix","{}",2,"GraphMatrix -> Matrix","[]","Matrix","(row_limit=None, col_limit=None)",15,"GraphMatrix","GraphMatrix",2
compressed_text,21,"(filter)",false,"Graph.filter_edges","filter_edges","Graph","{}",1,"Graph -> str","[""filter""]","str","(filter)",5,"Graph","Graph",7
"Get a NodesTable representation of accessible nodes  
Implements: g.nodes.table()",188,"()",false,"NodesAccessor.table","table","NodesAccessor","{}",0,"NodesAccessor -> NodesTable","[]","NodesTable","()",20,"NodesAccessor","NodesAccessor",11
compressed_text,171,"()",false,"NodeId.as_integer_ratio","as_integer_ratio","NodeId","{}",0,"NodeId -> int","[]","int","()",3,"NodeId","NodeId",32
"Compute gradients via backpropagation",380,"()",false,"GraphMatrix.backward","backward","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",15,"GraphMatrix","GraphMatrix",21
compressed_text,114,"(other, on, how)",false,"BaseTable.join","join","BaseTable","{}",3,"BaseTable -> dict","[""other"", ""on"", ""how""]","dict","(other, on, how)",23,"BaseTable","BaseTable",0
"Create subgraph representing shortest path between two nodes",367,"(source, target)",false,"Subgraph.shortest_path_subgraph","shortest_path_subgraph","Subgraph","{}",2,"Subgraph -> Subgraph","[""source"", ""target""]","Subgraph","(source, target)",6,"Subgraph","Subgraph",6
compressed_text,263,"(port=None, layout=None, theme=None, width=None, height=None)",false,"EdgesTable.interactive_viz","interactive_viz","EdgesTable","{}",5,"EdgesTable -> float","[]","float","(port=None, layout=None, theme=None, width=None, height=None)",13,"EdgesTable","EdgesTable",1
compressed_text,100,"(columns)",false,"BaseTable.drop_columns","drop_columns","BaseTable","{}",1,"BaseTable -> list","[""columns""]","list","(columns)",23,"BaseTable","BaseTable",8
"Import NodesTable from JSON file (must contain node_id column)",222,"(path)",false,"NodesTable.from_json","from_json","NodesTable","{}",1,"NodesTable -> NodesTable","[""path""]","NodesTable","(path)",11,"NodesTable","NodesTable",11
"Get single cell value at (row, col)",399,"(row, col)",false,"GraphMatrix.get_cell","get_cell","GraphMatrix","{}",2,"GraphMatrix -> Unknown","[""row"", ""col""]","Unknown","(row, col)",15,"GraphMatrix","GraphMatrix",21
compressed_text,249,"(columns)",false,"EdgesTable.drop_columns","drop_columns","EdgesTable","{}",1,"EdgesTable -> list","[""columns""]","list","(columns)",13,"EdgesTable","EdgesTable",8
"Import NodesTable from Parquet file (must contain node_id column)",223,"(path)",false,"NodesTable.from_parquet","from_parquet","NodesTable","{}",1,"NodesTable -> NodesTable","[""path""]","NodesTable","(path)",11,"NodesTable","NodesTable",11
compressed_text,271,"(start, end)",false,"EdgesTable.slice","slice","EdgesTable","{}",2,"EdgesTable -> EdgesTable","[""start"", ""end""]","EdgesTable","(start, end)",13,"EdgesTable","EdgesTable",13
"Get total node count across all NodesAccessor objects",292,"()",false,"NodesArray.total_node_count","total_node_count","NodesArray","{}",0,"NodesArray -> NodesAccessor","[]","NodesAccessor","()",28,"NodesArray","NodesArray",20
compressed_text,272,"(column, ascending=True)",false,"EdgesTable.sort_by","sort_by","EdgesTable","{}",2,"EdgesTable -> EdgesTable","[""column""]","EdgesTable","(column, ascending=True)",13,"EdgesTable","EdgesTable",13
"Create matrix from graph attributes",396,"(_graph, _attrs, _entities)",false,"GraphMatrix.from_graph_attributes","from_graph_attributes","GraphMatrix","{}",3,"GraphMatrix -> Graph","[""_graph"", ""_attrs"", ""_entities""]","Graph","(_graph, _attrs, _entities)",15,"GraphMatrix","GraphMatrix",5
"Get rich display representation using Rust formatter",432,"(config=None)",false,"GraphMatrix.rich_display","rich_display","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[]","Unknown","(config=None)",15,"GraphMatrix","GraphMatrix",21
compressed_text,160,"(chars=None)",false,"BranchName.strip","strip","BranchName","{}",1,"BranchName -> str","[]","str","(chars=None, /)",22,"BranchName","BranchName",7
compressed_text,74,"()",false,"AttrName.isupper","isupper","AttrName","{}",0,"AttrName -> str","[]","str","()",10,"AttrName","AttrName",7
"Convert to Python list",314,"()",false,"SubgraphArray.to_list","to_list","SubgraphArray","{}",0,"SubgraphArray -> list","[]","list","()",30,"SubgraphArray","SubgraphArray",8
"Check if edge exists between two nodes",348,"(source, target)",false,"Subgraph.has_edge_between","has_edge_between","Subgraph","{}",2,"Subgraph -> Unknown","[""source"", ""target""]","Unknown","(source, target)",6,"Subgraph","Subgraph",21
"Direct delegation: Apply sample(k) to each component and return PySubgraphArray",465,"(k)",false,"ComponentsArray.sample","sample","ComponentsArray","{}",1,"ComponentsArray -> SubgraphArray","[""k""]","SubgraphArray","(k)",14,"ComponentsArray","ComponentsArray",30
"Convert back to Graph",211,"()",false,"GraphTable.to_graph","to_graph","GraphTable","{}",0,"GraphTable -> Graph","[]","Graph","()",33,"GraphTable","GraphTable",5
"Calculate the sum",304,"()",false,"NumArray.sum","sum","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",26,"NumArray","NumArray",21
"Convert to pandas DataFrame",126,"()",false,"BaseTable.to_pandas","to_pandas","BaseTable","{}",0,"BaseTable -> Unknown","[]","Unknown","()",23,"BaseTable","BaseTable",21
"Import EdgesTable from CSV file (must contain edge_id, source, target columns)",255,"(path)",false,"EdgesTable.from_csv","from_csv","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[""path""]","EdgesTable","(path)",13,"EdgesTable","EdgesTable",13
"Auto-assign edge IDs for null values (useful for meta nodes and imported data)",196,"()",false,"GraphTable.auto_assign_edge_ids","auto_assign_edge_ids","GraphTable","{}",0,"GraphTable -> Unknown","[]","Unknown","()",33,"GraphTable","GraphTable",21
"Get last n rows (primarily from nodes table, default 5) ",209,"(n=5)",false,"GraphTable.tail","tail","GraphTable","{}",1,"GraphTable -> Unknown","[]","Unknown","(n=5)",33,"GraphTable","GraphTable",21
compressed_text,217,"(columns)",false,"NodesTable.drop_columns","drop_columns","NodesTable","{}",1,"NodesTable -> list","[""columns""]","list","(columns)",11,"NodesTable","NodesTable",8
"Get number of columns",231,"()",false,"NodesTable.ncols","ncols","NodesTable","{}",0,"NodesTable -> float","[]","float","()",11,"NodesTable","NodesTable",1
"Get standard Laplacian matrix (D - A)",451,"()",false,"GraphMatrix.to_laplacian","to_laplacian","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",15,"GraphMatrix","GraphMatrix",2
compressed_text,142,"()",false,"BranchName.isprintable","isprintable","BranchName","{}",0,"BranchName -> str","[]","str","()",22,"BranchName","BranchName",7
"",3,"(node_id=None, kwargs)",false,"Graph.add_node","add_node","Graph","{}",2,"Graph -> Unknown","[""kwargs""]","Unknown","(node_id=None, **kwargs)",5,"Graph","Graph",21
"Generate dense HTML representation for small matrices",384,"()",false,"GraphMatrix.dense_html_repr","dense_html_repr","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",15,"GraphMatrix","GraphMatrix",21
"Return a version of the string suitable for caseless comparisons.",130,"()",false,"BranchName.casefold","casefold","BranchName","{}",0,"BranchName -> str","[]","str","()",22,"BranchName","BranchName",7
compressed_text,218,"(predicate)",false,"NodesTable.filter","filter","NodesTable","{}",1,"NodesTable -> str","[""predicate""]","str","(predicate)",11,"NodesTable","NodesTable",7
"Import NodesTable from CSV file (must contain node_id column)",220,"(path)",false,"NodesTable.from_csv","from_csv","NodesTable","{}",1,"NodesTable -> NodesTable","[""path""]","NodesTable","(path)",11,"NodesTable","NodesTable",11
"Return a version of the string suitable for caseless comparisons.",59,"()",false,"AttrName.casefold","casefold","AttrName","{}",0,"AttrName -> str","[]","str","()",10,"AttrName","AttrName",7
"Dropout operation for regularization",386,"(p, training=None)",false,"GraphMatrix.dropout","dropout","GraphMatrix","{}",2,"GraphMatrix -> Unknown","[""p""]","Unknown","(p, training=None)",15,"GraphMatrix","GraphMatrix",21
"Return a copy of the string converted to lowercase.",148,"()",false,"BranchName.lower","lower","BranchName","{}",0,"BranchName -> str","[]","str","()",22,"BranchName","BranchName",7
"Get neighbors of nodes - delegates to PyGraphAnalysis helper",40,"(nodes=None)",false,"Graph.neighbors","neighbors","Graph","{}",1,"Graph -> GraphAnalysis","[]","GraphAnalysis","(nodes=None)",5,"Graph","Graph",24
compressed_text,206,"(bundle_path)",false,"GraphTable.save_bundle","save_bundle","GraphTable","{}",1,"GraphTable -> GraphTable","[""bundle_path""]","GraphTable","(bundle_path)",33,"GraphTable","GraphTable",33
"DFS traversal - delegates to PyGraphAnalysis helper  ",17,"(start, max_depth=None, inplace=None, attr_name=None)",false,"Graph.dfs","dfs","Graph","{}",4,"Graph -> GraphAnalysis","[""start""]","GraphAnalysis","(start, max_depth=None, inplace=None, attr_name=None)",5,"Graph","Graph",24
compressed_text,82,"(old, new, count=-1)",false,"AttrName.replace","replace","AttrName","{}",3,"AttrName -> float","[""old"", ""new""]","float","(old, new, count=-1, /)",10,"AttrName","AttrName",1
"Calculate similarity between subgraphs using various metrics",325,"(other, metric=jaccard)",false,"Subgraph.calculate_similarity","calculate_similarity","Subgraph","{}",2,"Subgraph -> Unknown","[""other""]","Unknown","(other, metric='jaccard')",6,"Subgraph","Subgraph",21
"Standard deviation along specified axis (0=rows, 1=columns)",441,"(axis)",false,"GraphMatrix.std_axis","std_axis","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[""axis""]","Unknown","(axis)",15,"GraphMatrix","GraphMatrix",21
"Check if column exists",109,"(name)",false,"BaseTable.has_column","has_column","BaseTable","{}",1,"BaseTable -> Unknown","[""name""]","Unknown","(name)",23,"BaseTable","BaseTable",21
"Get summary information without materializing data",444,"()",false,"GraphMatrix.summary","summary","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",15,"GraphMatrix","GraphMatrix",21
"Get all unique edge attribute names across the entire graph",6,"()",false,"Graph.all_edge_attribute_names","all_edge_attribute_names","Graph","{}",0,"Graph -> Graph","[]","Graph","()",5,"Graph","Graph",5
"Get single edge attribute - delegates to PyGraphAttr",23,"(edge, attr, default=None)",false,"Graph.get_edge_attr","get_edge_attr","Graph","{}",3,"Graph -> GraphAttr","[""edge"", ""attr""]","GraphAttr","(edge, attr, default=None)",5,"Graph","Graph",17
compressed_text,224,"(columns)",false,"NodesTable.group_by","group_by","NodesTable","{}",1,"NodesTable -> list","[""columns""]","list","(columns)",11,"NodesTable","NodesTable",8
"Create a ones matrix with specified dimensions",423,"(rows, cols, dtype=None)",false,"GraphMatrix.ones","ones","GraphMatrix","{}",3,"GraphMatrix -> Matrix","[""rows"", ""cols""]","Matrix","(rows, cols, dtype=None)",15,"GraphMatrix","GraphMatrix",2
"Count unique values",301,"()",false,"NumArray.nunique","nunique","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",26,"NumArray","NumArray",21
compressed_text,177,"(bytes, byteorder, signed=False)",false,"StateId.from_bytes","from_bytes","StateId","{}",3,"StateId -> list","[""bytes"", ""byteorder""]","list","(bytes, byteorder, *, signed=False)",19,"StateId","StateId",8
"Calculate the L1 norm (sum of absolute values) of the matrix",422,"()",false,"GraphMatrix.norm_l1","norm_l1","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",15,"GraphMatrix","GraphMatrix",2
"Maximum along specified axis (0=rows, 1=columns)",414,"(axis)",false,"GraphMatrix.max_axis","max_axis","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[""axis""]","Unknown","(axis)",15,"GraphMatrix","GraphMatrix",21
"Export BaseTable to Parquet file ",127,"(path)",false,"BaseTable.to_parquet","to_parquet","BaseTable","{}",1,"BaseTable -> BaseTable","[""path""]","BaseTable","(path)",23,"BaseTable","BaseTable",23
"Get last n rows (default 5)",274,"(n=5)",false,"EdgesTable.tail","tail","EdgesTable","{}",1,"EdgesTable -> Unknown","[]","Unknown","(n=5)",13,"EdgesTable","EdgesTable",21
"Create matrix from BaseArray containing numeric values",393,"(base_array, rows, cols)",false,"GraphMatrix.from_base_array","from_base_array","GraphMatrix","{}",3,"GraphMatrix -> float","[""base_array"", ""rows"", ""cols""]","float","(base_array, rows, cols)",15,"GraphMatrix","GraphMatrix",1
"Get historical view at specific commit (FFI wrapper around core history system)",35,"(commit_id)",false,"Graph.historical_view","historical_view","Graph","{}",1,"Graph -> Commit","[""commit_id""]","Commit","(commit_id)",5,"Graph","Graph",18
"Get rich display representation with NodesTable type",234,"(config=None)",false,"NodesTable.rich_display","rich_display","NodesTable","{}",1,"NodesTable -> NodesTable","[]","NodesTable","(config=None)",11,"NodesTable","NodesTable",11
"Create a new branch (FFI wrapper around core history system)",15,"(branch_name)",false,"Graph.create_branch","create_branch","Graph","{}",1,"Graph -> Unknown","[""branch_name""]","Unknown","(branch_name)",5,"Graph","Graph",21
"Get single node attribute - delegates to PyGraphAttr",25,"(node, attr, default=None)",false,"Graph.get_node_attr","get_node_attr","Graph","{}",3,"Graph -> GraphAttr","[""node"", ""attr""]","GraphAttr","(node, attr, default=None)",5,"Graph","Graph",17
compressed_text,29,"(attribute, aggregation_attr, operation)",false,"Graph.group_nodes_by_attribute","group_nodes_by_attribute","Graph","{}",3,"Graph -> Graph","[""attribute"", ""aggregation_attr"", ""operation""]","Graph","(attribute, aggregation_attr, operation)",5,"Graph","Graph",5
"Convert matrix to nested Python list
Returns: [[row1], [row2], ...] format",452,"()",false,"GraphMatrix.to_list","to_list","GraphMatrix","{}",0,"GraphMatrix -> list","[]","list","()",15,"GraphMatrix","GraphMatrix",8
"List all branches (FFI wrapper around core history system)",9,"()",false,"Graph.branches","branches","Graph","{}",0,"Graph -> list","[]","list","()",5,"Graph","Graph",8
compressed_text,261,"()",false,"EdgesTable.interactive","interactive","EdgesTable","{}",0,"EdgesTable -> str","[]","str","()",13,"EdgesTable","EdgesTable",7
compressed_text,111,"(port=None, layout=None, theme=None, width=None, height=None)",false,"BaseTable.interactive_viz","interactive_viz","BaseTable","{}",5,"BaseTable -> float","[]","float","(port=None, layout=None, theme=None, width=None, height=None)",23,"BaseTable","BaseTable",1
"Create induced subgraph from list of nodes",353,"(nodes)",false,"Subgraph.induced_subgraph","induced_subgraph","Subgraph","{}",1,"Subgraph -> list","[""nodes""]","list","(nodes)",6,"Subgraph","Subgraph",8
"Return the entity type string",340,"()",false,"Subgraph.entity_type","entity_type","Subgraph","{}",0,"Subgraph -> str","[]","str","()",6,"Subgraph","Subgraph",7
"Get number of rows",233,"()",false,"NodesTable.nrows","nrows","NodesTable","{}",0,"NodesTable -> float","[]","float","()",11,"NodesTable","NodesTable",1
"Get all meta-nodes within this subgraph",358,"()",false,"Subgraph.meta_nodes","meta_nodes","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","()",6,"Subgraph","Subgraph",6
compressed_text,153,"(old, new, count=-1)",false,"BranchName.replace","replace","BranchName","{}",3,"BranchName -> float","[""old"", ""new""]","float","(old, new, count=-1, /)",22,"BranchName","BranchName",1
"Get unique values for an attribute",280,"(attr_name)",false,"EdgesTable.unique_attr_values","unique_attr_values","EdgesTable","{}",1,"EdgesTable -> Unknown","[""attr_name""]","Unknown","(attr_name)",13,"EdgesTable","EdgesTable",21
"Set multiple node attributes (bulk operation) - delegates to accessor",366,"(attrs_dict)",false,"Subgraph.set_node_attrs","set_node_attrs","Subgraph","{}",1,"Subgraph -> Unknown","[""attrs_dict""]","Unknown","(attrs_dict)",6,"Subgraph","Subgraph",21
"Combine all NodesAccessor objects into a single unified NodesAccessor",293,"()",false,"NodesArray.union","union","NodesArray","{}",0,"NodesArray -> NodesAccessor","[]","NodesAccessor","()",28,"NodesArray","NodesArray",20
compressed_text,419,"(other)",false,"GraphMatrix.multiply","multiply","GraphMatrix","{}",1,"GraphMatrix -> Matrix","[""other""]","Matrix","(other)",15,"GraphMatrix","GraphMatrix",2
"Leaky ReLU activation function",409,"(alpha=None)",false,"GraphMatrix.leaky_relu","leaky_relu","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[]","Unknown","(alpha=None)",15,"GraphMatrix","GraphMatrix",21
"Get a GraphTable representation of this graph
Implements: g.table()",53,"()",false,"Graph.table","table","Graph","{}",0,"Graph -> Graph","[]","Graph","()",5,"Graph","Graph",5
"Eigenvalue decomposition: A * V = V * Λ
Returns tuple of (eigenvalues, eigenvectors) ",387,"()",false,"GraphMatrix.eigenvalue_decomposition","eigenvalue_decomposition","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",15,"GraphMatrix","GraphMatrix",21
"Get out-degree of nodes within subgraph",362,"(nodes=None, full_graph=False)",false,"Subgraph.out_degree","out_degree","Subgraph","{}",2,"Subgraph -> Subgraph","[]","Subgraph","(nodes=None, full_graph=False)",6,"Subgraph","Subgraph",6
"Convert to BaseTable (loses edge-specific typing)",264,"()",false,"EdgesTable.into_base_table","into_base_table","EdgesTable","{}",0,"EdgesTable -> BaseTable","[]","BaseTable","()",13,"EdgesTable","EdgesTable",23
compressed_text,187,"(attrs_dict)",false,"NodesAccessor.set_attrs","set_attrs","NodesAccessor","{}",1,"NodesAccessor -> Graph","[""attrs_dict""]","Graph","(attrs_dict)",20,"NodesAccessor","NodesAccessor",5
"Merge with another GraphTable",202,"(other, strategy)",false,"GraphTable.merge_with","merge_with","GraphTable","{}",2,"GraphTable -> GraphTable","[""other"", ""strategy""]","GraphTable","(other, strategy)",33,"GraphTable","GraphTable",33
compressed_text,87,"(sep=None, maxsplit=-1)",false,"AttrName.split","split","AttrName","{}",2,"AttrName -> list","[]","list","(sep=None, maxsplit=-1)",10,"AttrName","AttrName",8
"Import EdgesTable from Parquet file (must contain edge_id, source, target columns)",258,"(path)",false,"EdgesTable.from_parquet","from_parquet","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[""path""]","EdgesTable","(path)",13,"EdgesTable","EdgesTable",13
"Check if the array is empty",318,"()",false,"TableArray.is_empty","is_empty","TableArray","{}",0,"TableArray -> list","[]","list","()",4,"TableArray","TableArray",8
"Filter edges by target nodes",254,"(target_nodes)",false,"EdgesTable.filter_by_targets","filter_by_targets","EdgesTable","{}",1,"EdgesTable -> Unknown","[""target_nodes""]","Unknown","(target_nodes)",13,"EdgesTable","EdgesTable",21
compressed_text,427,"()",false,"GraphMatrix.rank","rank","GraphMatrix","{}",0,"GraphMatrix -> float","[]","float","()",15,"GraphMatrix","GraphMatrix",1
compressed_text,92,"(table)",false,"AttrName.translate","translate","AttrName","{}",1,"AttrName -> dict","[""table""]","dict","(table, /)",10,"AttrName","AttrName",0
"Filter edges by source nodes",253,"(source_nodes)",false,"EdgesTable.filter_by_sources","filter_by_sources","EdgesTable","{}",1,"EdgesTable -> Unknown","[""source_nodes""]","Unknown","(source_nodes)",13,"EdgesTable","EdgesTable",21
compressed_text,156,"(sep=None, maxsplit=-1)",false,"BranchName.rsplit","rsplit","BranchName","{}",2,"BranchName -> list","[]","list","(sep=None, maxsplit=-1)",22,"BranchName","BranchName",8
"Get Laplacian matrix - delegates to PyGraphMatrixHelper",37,"(normalized=None)",false,"Graph.laplacian_matrix","laplacian_matrix","Graph","{}",1,"Graph -> Matrix","[]","Matrix","(normalized=None)",5,"Graph","Graph",2
compressed_text,159,"(keepends=False)",false,"BranchName.splitlines","splitlines","BranchName","{}",1,"BranchName -> list","[]","list","(keepends=False)",22,"BranchName","BranchName",8
"Check if a node exists in the graph - DELEGATED",32,"(node_id)",false,"Graph.has_node","has_node","Graph","{}",1,"Graph -> Graph","[""node_id""]","Graph","(node_id)",5,"Graph","Graph",5
compressed_text,154,"(width, fillchar= )",false,"BranchName.rjust","rjust","BranchName","{}",2,"BranchName -> str","[""width""]","str","(width, fillchar=' ', /)",22,"BranchName","BranchName",7
"Global sum of all elements in the matrix",442,"()",false,"GraphMatrix.sum","sum","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",15,"GraphMatrix","GraphMatrix",2
compressed_text,165,"(width)",false,"BranchName.zfill","zfill","BranchName","{}",1,"BranchName -> str","[""width""]","str","(width, /)",22,"BranchName","BranchName",7
"Check if node has specific attribute - delegates to PyGraphAttr",33,"(node_id, attr_name)",false,"Graph.has_node_attribute","has_node_attribute","Graph","{}",2,"Graph -> GraphAttr","[""node_id"", ""attr_name""]","GraphAttr","(node_id, attr_name)",5,"Graph","Graph",17
"Calculate transitivity of the subgraph",377,"()",false,"Subgraph.transitivity","transitivity","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","()",6,"Subgraph","Subgraph",6
compressed_text,328,compressed_text,false,"Subgraph.collapse","collapse","Subgraph","{}",9,"Subgraph -> dict","[]","dict",compressed_text,6,"Subgraph","Subgraph",0
compressed_text,91,"()",false,"AttrName.title","title","AttrName","{}",0,"AttrName -> str","[]","str","()",10,"AttrName","AttrName",7
"Collect all subgraphs into a Python list (for compatibility with iterator patterns)",308,"()",false,"SubgraphArray.collect","collect","SubgraphArray","{}",0,"SubgraphArray -> list","[]","list","()",30,"SubgraphArray","SubgraphArray",8
compressed_text,182,"()",false,"NodesAccessor.array","array","NodesAccessor","{}",0,"NodesAccessor -> list","[]","list","()",20,"NodesAccessor","NodesAccessor",8
"Get number of columns (max of nodes and edges)",204,"()",false,"GraphTable.ncols","ncols","GraphTable","{}",0,"GraphTable -> float","[]","float","()",33,"GraphTable","GraphTable",1
"Tanh activation applied to matrix
Implements: matrix.tanh()",446,"()",false,"GraphMatrix.tanh","tanh","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",15,"GraphMatrix","GraphMatrix",2
compressed_text,391,"(condition)",false,"GraphMatrix.filter","filter","GraphMatrix","{}",1,"GraphMatrix -> Matrix","[""condition""]","Matrix","(condition)",15,"GraphMatrix","GraphMatrix",2
compressed_text,112,"(other)",false,"BaseTable.intersect","intersect","BaseTable","{}",1,"BaseTable -> Unknown","[""other""]","Unknown","(other)",23,"BaseTable","BaseTable",21
"Create matrix from NumArray by reshaping to specified dimensions",395,"(num_array, rows, cols)",false,"GraphMatrix.from_flattened","from_flattened","GraphMatrix","{}",3,"GraphMatrix -> NumArray","[""num_array"", ""rows"", ""cols""]","NumArray","(num_array, rows, cols)",15,"GraphMatrix","GraphMatrix",26
"Create DisplayConfig with default values",166,"()",false,"DisplayConfig.default","default","DisplayConfig","{}",0,"DisplayConfig -> DisplayConfig","[]","DisplayConfig","()",29,"DisplayConfig","DisplayConfig",29
"Get last n rows (default 5)",123,"(n=5)",false,"BaseTable.tail","tail","BaseTable","{}",1,"BaseTable -> Unknown","[]","Unknown","(n=5)",23,"BaseTable","BaseTable",21
"Get shortest path - delegates to PyGraphAnalysis helper",52,"(source, target, weight_attribute=None, inplace=None, attr_name=None)",false,"Graph.shortest_path","shortest_path","Graph","{}",5,"Graph -> GraphAnalysis","[""source"", ""target""]","GraphAnalysis","(source, target, weight_attribute=None, inplace=None, attr_name=None)",5,"Graph","Graph",24
compressed_text,141,"()",false,"BranchName.isnumeric","isnumeric","BranchName","{}",0,"BranchName -> str","[]","str","()",22,"BranchName","BranchName",7
"Filter nodes and return new subgraph  ",342,"(filter)",false,"Subgraph.filter_nodes","filter_nodes","Subgraph","{}",1,"Subgraph -> Subgraph","[""filter""]","Subgraph","(filter)",6,"Subgraph","Subgraph",6
"Split matrix along specified axis",438,"(split_points, axis)",false,"GraphMatrix.split","split","GraphMatrix","{}",2,"GraphMatrix -> Matrix","[""split_points"", ""axis""]","Matrix","(split_points, axis)",15,"GraphMatrix","GraphMatrix",2
"Create federated GraphTable from multiple bundle paths",197,"(bundle_paths, domain_names=None)",false,"GraphTable.from_federated_bundles","from_federated_bundles","GraphTable","{}",2,"GraphTable -> GraphTable","[""bundle_paths""]","GraphTable","(bundle_paths, domain_names=None)",33,"GraphTable","GraphTable",33
"Get graph statistics  ",208,"()",false,"GraphTable.stats","stats","GraphTable","{}",0,"GraphTable -> Graph","[]","Graph","()",33,"GraphTable","GraphTable",5
"Set operations - merge, intersect, subtract (placeholders)",357,"(_other)",false,"Subgraph.merge_with","merge_with","Subgraph","{}",1,"Subgraph -> Unknown","[""_other""]","Unknown","(_other)",6,"Subgraph","Subgraph",21
compressed_text,184,"(attr_name)",false,"NodesAccessor.group_by","group_by","NodesAccessor","{}",1,"NodesAccessor -> list","[""attr_name""]","list","(attr_name)",20,"NodesAccessor","NodesAccessor",8
"Convert node attributes to matrix
Implements: g.nodes.matrix()",186,"()",false,"NodesAccessor.matrix","matrix","NodesAccessor","{}",0,"NodesAccessor -> Matrix","[]","Matrix","()",20,"NodesAccessor","NodesAccessor",2
"Import BaseTable from JSON file",104,"(path)",false,"BaseTable.from_json","from_json","BaseTable","{}",1,"BaseTable -> BaseTable","[""path""]","BaseTable","(path)",23,"BaseTable","BaseTable",23
"DFS traversal - returns subgraph result",336,"(start, max_depth=None)",false,"Subgraph.dfs","dfs","Subgraph","{}",2,"Subgraph -> Subgraph","[""start""]","Subgraph","(start, max_depth=None)",6,"Subgraph","Subgraph",6
"GELU activation applied to matrix
Implements: matrix.gelu()",397,"()",false,"GraphMatrix.gelu","gelu","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",15,"GraphMatrix","GraphMatrix",2
"Iterate over columns - returns iterator of BaseArrays or NumArrays",407,"()",false,"GraphMatrix.iter_columns","iter_columns","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",15,"GraphMatrix","GraphMatrix",21
"Check if edge exists - DELEGATED (same as has_edge)  ",13,"(edge)",false,"Graph.contains_edge","contains_edge","Graph","{}",1,"Graph -> Unknown","[""edge""]","Unknown","(edge)",5,"Graph","Graph",21
compressed_text,227,"()",false,"NodesTable.interactive_embed","interactive_embed","NodesTable","{}",0,"NodesTable -> str","[]","str","()",11,"NodesTable","NodesTable",7
"Get first element",295,"()",false,"NumArray.first","first","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",26,"NumArray","NumArray",21
compressed_text,137,"()",false,"BranchName.isdecimal","isdecimal","BranchName","{}",0,"BranchName -> str","[]","str","()",22,"BranchName","BranchName",7
"Solve linear system Ax = b",437,"(b)",false,"GraphMatrix.solve","solve","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[""b""]","Unknown","(b)",15,"GraphMatrix","GraphMatrix",21
